,station_id,arrival_time,returns
582,17,975-990,1
583,17,990-1005,3
584,17,Unknown,1
585,18,1005-1020,2
586,18,1020-1035,2
587,18,1065-1080,4
588,18,1080-1095,3
589,18,1095-1110,1
590,18,1110-1125,4
591,18,1140-1155,1
592,18,1155-1170,2
593,18,1185-1200,1
594,18,1200-1215,2
595,18,1350-1365,1
596,18,30-45,1
597,18,405-420,1
598,18,480-495,2
599,18,495-510,1
600,18,510-525,1
601,18,645-660,1
602,18,705-720,2
603,18,720-735,1
604,18,780-795,2
605,18,855-870,1
606,18,900-915,1
607,18,945-960,1
608,18,990-1005,2
609,19,1005-1020,1
610,19,1035-1050,1
611,19,1050-1065,1
612,19,1065-1080,1
613,19,1080-1095,3
614,19,1095-1110,2
615,19,1140-1155,1
616,19,1155-1170,2
617,19,1170-1185,2
618,19,1185-1200,1
619,19,1290-1305,1
620,19,1380-1395,1
621,19,1395-1410,1
622,19,480-495,2
623,19,495-510,1
624,19,510-525,1
625,19,525-540,3
626,19,540-555,1
627,19,555-570,1
628,19,615-630,2
629,19,675-690,1
630,19,690-705,1
631,19,720-735,1
632,19,735-750,1
633,19,795-810,1
634,19,870-885,2
635,19,975-990,3
636,19,990-1005,1
637,20,1005-1020,2
638,20,1020-1035,2
639,20,1035-1050,3
640,20,1065-1080,1
641,20,1080-1095,1
642,20,1095-1110,1
643,20,1110-1125,2
644,20,1125-1140,1
645,20,1140-1155,1
646,20,1155-1170,2
647,20,1170-1185,1
648,20,1185-1200,1
649,20,1215-1230,1
650,20,1260-1275,1
651,20,1275-1290,1
652,20,1290-1305,1
653,20,1320-1335,1
654,20,1410-1425,1
655,20,435-450,1
656,20,480-495,2
657,20,495-510,2
658,20,585-600,2
659,20,630-645,2
660,20,720-735,1
661,20,750-765,2
662,20,765-780,1
663,20,810-825,1
664,20,840-855,1
665,20,855-870,1
666,20,930-945,2
667,20,945-960,2
668,20,960-975,1
669,20,990-1005,1
670,21,1005-1020,1
671,21,1020-1035,2
672,21,1035-1050,7
673,21,1050-1065,4
674,21,1065-1080,2
675,21,1080-1095,3
676,21,1095-1110,2
677,21,1110-1125,2
678,21,1170-1185,4
679,21,1230-1245,1
680,21,1395-1410,1
681,21,1425-1440,1
682,21,195-210,1
683,21,390-405,1
684,21,450-465,1
685,21,540-555,2
686,21,570-585,1
687,21,645-660,2
688,21,675-690,2
689,21,690-705,1
690,21,705-720,1
691,21,780-795,2
692,21,810-825,1
693,21,825-840,1
694,21,840-855,1
695,21,855-870,1
696,21,870-885,1
697,21,915-930,1
698,21,930-945,1
699,21,945-960,2
700,21,960-975,2
701,21,975-990,3
702,21,990-1005,2
703,22,1005-1020,1
704,22,1020-1035,2
705,22,1035-1050,2
706,22,1050-1065,3
707,22,1065-1080,2
708,22,1080-1095,2
709,22,1095-1110,3
710,22,1125-1140,2
711,22,1155-1170,1
712,22,1185-1200,2
713,22,120-135,1
714,22,1245-1260,1
715,22,1260-1275,1
716,22,1380-1395,1
717,22,465-480,1
718,22,495-510,2
719,22,510-525,1
720,22,525-540,1
721,22,540-555,1
722,22,570-585,1
723,22,60-75,1
724,22,690-705,1
725,22,705-720,1
726,22,780-795,1
727,22,795-810,1
728,22,825-840,1
729,22,840-855,1
730,22,870-885,1
731,22,915-930,1
732,22,930-945,4
733,22,945-960,1
734,22,975-990,2
735,22,990-1005,1
736,23,1005-1020,2
737,23,1020-1035,2
738,23,1035-1050,2
739,23,1050-1065,1
740,23,1065-1080,1
741,23,1080-1095,3
742,23,1095-1110,6
743,23,1110-1125,1
744,23,1125-1140,2
745,23,1140-1155,1
746,23,1170-1185,2
747,23,1185-1200,1
748,23,1215-1230,2
749,23,1260-1275,1
750,23,420-435,1
751,23,465-480,1
752,23,480-495,1
753,23,510-525,2
754,23,525-540,1
755,23,540-555,1
756,23,585-600,1
757,23,615-630,1
758,23,630-645,1
759,23,675-690,1
760,23,690-705,1
761,23,705-720,1
762,23,720-735,1
763,23,825-840,2
764,23,855-870,1
765,23,900-915,2
766,23,960-975,1
767,23,990-1005,1
768,24,1020-1035,1
769,24,1035-1050,1
770,24,1050-1065,4
771,24,1080-1095,2
772,24,1095-1110,2
773,24,1110-1125,1
774,24,1125-1140,1
775,24,1155-1170,1
776,24,1260-1275,1
777,24,1305-1320,1
778,24,1335-1350,2
779,24,360-375,1
780,24,465-480,2
781,24,600-615,1
782,24,630-645,1
783,24,690-705,1
784,24,720-735,1
785,24,75-90,1
786,24,765-780,1
787,24,780-795,1
788,24,825-840,2
789,24,855-870,1
790,24,945-960,3
791,24,960-975,1
792,24,975-990,1
793,25,1005-1020,3
794,25,1020-1035,1
795,25,1035-1050,1
796,25,105-120,1
797,25,1050-1065,4
798,25,1065-1080,2
799,25,1080-1095,3
800,25,1110-1125,4
801,25,1155-1170,1
802,25,1215-1230,1
803,25,1305-1320,2
804,25,1335-1350,1
805,25,1350-1365,1
806,25,1410-1425,1
807,25,435-450,2
808,25,450-465,1
809,25,495-510,1
810,25,525-540,1
811,25,540-555,1
812,25,555-570,2
813,25,660-675,1
814,25,690-705,1
815,25,705-720,1
816,25,720-735,1
817,25,75-90,1
818,25,795-810,1
819,25,810-825,2
820,25,840-855,1
821,25,855-870,1
822,25,885-900,1
823,25,930-945,2
824,25,975-990,3
825,25,990-1005,3
826,26,1020-1035,2
827,26,1035-1050,1
828,26,1050-1065,1
829,26,1065-1080,1
830,26,1080-1095,1
831,26,1095-1110,1
832,26,1110-1125,2
833,26,1140-1155,1
834,26,1155-1170,1
835,26,1170-1185,2
836,26,1185-1200,1
837,26,1215-1230,1
838,26,1230-1245,1
839,26,1380-1395,1
840,26,390-405,1
841,26,405-420,1
842,26,450-465,1
843,26,495-510,1
844,26,525-540,2
845,26,570-585,1
846,26,630-645,1
847,26,645-660,1
848,26,675-690,2
849,26,690-705,2
850,26,705-720,1
851,26,720-735,2
852,26,735-750,2
853,26,765-780,1
854,26,975-990,1
